State,Age,Year,Total,Male,Female,European-American/White,African-American/Black,Hispanic/Latino,Other
Pennsylvania,15-19,804,803978,409186,394792,554402,101521,88266,47407
Pennsylvania,20-24,804,799230,406017,393213,551524,106402,83608,47242
Pennsylvania,25-29,804,861372,440810,420562,591629,123668,85528,51599
Pennsylvania,30-34,804,847764,430526,417238,603199,105159,80428,52282
Pennsylvania,35-39,804,791515,397078,394437,574014,88729,75872,47570
Pennsylvania,40-44,804,722224,359573,362651,530333,80233,66099,41236
Pennsylvania,45-49,804,773596,383629,389967,591405,82647,56765,38864
Pennsylvania,50-54,804,830501,408851,421650,661498,84425,48838,32435
Pennsylvania,55-59,804,909697,443069,466628,751069,85960,40834,28799
Pennsylvania,60-64,804,895186,431750,463436,758534,77963,30998,24900
Pennsylvania,65-69,804,755303,358688,396615,651476,60032,21443,20277
Pennsylvania,70-74,804,598790,277273,321517,523860,43068,15752,14641
Pennsylvania,75-79,804,419523,184835,234688,370344,28881,9496,9838
Pennsylvania,80-84,804,287634,118280,169354,255612,19372,6121,5868
Pennsylvania,85+,804,332112,112827,219285,299929,20768,5699,5041
Rhode Island,0-4,60,54521,27866,26655,29614,3977,15766,3891
Rhode Island,5-9,60,54899,28153,26746,30307,4365,15187,3709
Rhode Island,10-14,60,57969,29713,28256,33897,4425,14500,3771
Rhode Island,15-19,60,71154,35392,35762,44450,5245,15371,4742
Rhode Island,20-24,60,75503,38009,37494,48022,5542,15262,5511
Rhode Island,25-29,60,75743,38976,36767,47363,5909,15931,5536
Rhode Island,30-34,60,72470,36727,35743,47667,5161,13604,5254
Rhode Island,35-39,60,66258,33402,32856,43948,4793,12477,4433
Rhode Island,40-44,60,59077,29153,29924,40148,4129,11313,2996
Rhode Island,45-49,60,63926,31034,32892,46548,3965,10186,2795
Rhode Island,50-54,60,71186,34477,36709,54706,3941,9354,2779
Rhode Island,55-59,60,76549,36579,39970,62490,3783,7454,2469
Rhode Island,60-64,60,73060,34797,38263,61519,3457,5630,2133
Rhode Island,65-69,60,59360,28011,31349,51385,2325,3920,1528
Rhode Island,70-74,60,46799,21688,25111,41339,1449,2733,1126
Rhode Island,75-79,60,32019,14068,17951,28523,929,1724,743
Rhode Island,80-84,60,21356,8652,12704,19003,762,1073,466
Rhode Island,85+,60,27512,8978,18534,25002,809,1159,442
South Carolina,0-4,552,292464,149429,143035,158851,83399,31193,12527
South Carolina,5-9,552,306776,155950,150826,166991,89326,30562,13425
South Carolina,10-14,552,323940,164443,159497,174804,97920,31724,13186
South Carolina,15-19,552,324659,165857,158802,185221,95701,26512,12278
South Carolina,20-24,552,330743,170451,160292,190445,98785,23988,13393
South Carolina,25-29,552,353271,175694,177577,206970,107690,22829,12333
South Carolina,30-34,552,329583,161167,168416,200756,92129,23467,10688
South Carolina,35-39,552,319990,155506,164484,194635,86776,25052,11496
South Carolina,40-44,552,300514,145904,154610,186092,80024,22715,9987
South Carolina,45-49,552,318195,153847,164348,207114,81008,18830,9773
South Carolina,50-54,552,322412,154915,167497,214127,83779,14790,8408
South Carolina,55-59,552,349976,165680,184296,240119,89298,11526,7663
South Carolina,60-64,552,339168,157657,181511,238370,84147,8514,6980
South Carolina,65-69,552,309207,140894,168313,225701,70839,6029,5689
South Carolina,70-74,552,261393,121217,140176,200680,51623,4161,4171
South Carolina,75-79,552,173014,78602,94412,135750,31590,2442,2719
South Carolina,80-84,552,101999,43515,58484,79631,19006,1422,1641
South Carolina,85+,552,91410,32411,58999,71285,17302,1362,1150
South Dakota,0-4,792,61167,31383,29784,42355,1819,5122,10469
South Dakota,5-9,792,60934,31280,29654,42504,2175,4903,9936
South Dakota,10-14,792,60732,31137,29595,44074,1625,3575,10115
South Dakota,15-19,792,57734,29779,27955,43221,1249,3118,9096
South Dakota,20-24,792,58930,30575,28355,45030,1583,3095,8290
South Dakota,25-29,792,57986,30615,27371,43944,1945,3142,8222
South Dakota,30-34,792,57078,29724,27354,44117,2468,2870,7068
South Dakota,35-39,792,56899,29598,27301,45735,1834,2843,6070
South Dakota,40-44,792,48965,25212,23753,40283,1215,2062,5024
South Dakota,45-49,792,46641,23816,22825,39067,919,1720,4637
South Dakota,50-54,792,48224,24487,23737,41415,827,1470,4263
South Dakota,55-59,792,58789,29247,29542,52502,616,1164,4242
South Dakota,60-64,792,58709,29238,29471,53823,485,832,3358
South Dakota,65-69,792,52022,25950,26072,48438,342,572,2530
South Dakota,70-74,792,37194,18609,18585,34760,217,415,1697
South Dakota,75-79,792,24442,11416,13026,23130,61,192,975
South Dakota,80-84,792,17228,7453,9775,16429,33,112,586
South Dakota,85+,792,20985,7238,13747,20226,34,144,492
Tennessee,0-4,1140,408605,208823,199782,259338,77328,45277,17809
Tennessee,5-9,1140,413379,211447,201932,263702,79751,44041,17509
Tennessee,10-14,1140,431302,219748,211554,281083,81342,43176,17387
Tennessee,15-19,1140,424280,216471,207809,285837,81304,34388,16374
Tennessee,20-24,1140,444925,225087,219838,304504,88751,29817,16369
Tennessee,25-29,1140,497286,249326,247960,343806,100670,30476,17616
Tennessee,30-34,1140,452370,224241,228129,318776,83751,29537,16904
Tennessee,35-39,1140,435528,214785,220743,310129,75678,31019,15847
Tennessee,40-44,1140,412130,202748,209382,298990,68976,27473,14395
Tennessee,45-49,1140,437995,214901,223094,329799,70569,22223,13255
Tennessee,50-54,1140,433284,212004,221280,335307,68160,16677,11319
Tennessee,55-59,1140,460294,220979,239315,364258,71152,12664,10303
Tennessee,60-64,1140,434403,205260,229143,349346,65204,8941,9119
Tennessee,65-69,1140,373761,174024,199737,308222,50999,5912,7192
Tennessee,70-74,1140,307635,142348,165287,263375,33528,4137,5492
Tennessee,75-79,1140,209230,93726,115504,182542,20157,2461,3296
Tennessee,80-84,1140,130998,54448,76550,114406,12617,1492,1987
Tennessee,85+,1140,121769,41873,79896,106120,11853,1671,1620
Texas,0-4,3048,1990891,1015624,975267,616466,233924,990434,119964
Texas,5-9,3048,2063578,1052719,1010859,645557,238269,1022120,127670
Texas,10-14,3048,2103124,1073413,1029711,654596,253442,1042705,126804
Texas,15-19,3048,2052992,1048188,1004804,663642,252089,999545,116744
Texas,20-24,3048,2002525,1030183,972342,684564,259708,923329,116858
Texas,25-29,3048,2172297,1110855,1061442,782878,303418,924144,144504
Texas,30-34,3048,2104466,1069270,1035196,802892,276910,855055,155112
Texas,35-39,3048,2064852,1040150,1024702,793936,263065,840432,154915
Texas,40-44,3048,1877587,938778,938809,719777,233976,771923,141374
Texas,45-49,3048,1853407,919257,934150,763744,230070,717027,133452
Texas,50-54,3048,1700691,843533,857158,767039,211522,609403,105335
Texas,55-59,3048,1721845,843231,878614,880645,210677,530943,92427
Texas,60-64,3048,1553397,748334,805063,858352,184434,424000,80546
Texas,65-69,3048,1261142,590967,670175,736643,136431,316653,66720
Texas,70-74,3048,983886,456004,527882,610185,92349,228919,48852
Texas,75-79,3048,659344,294498,364846,425663,55837,144463,31165
Texas,80-84,3048,421398,178143,243255,272344,33656,95979,17957
Texas,85+,3048,408459,149555,258904,271851,31833,88504,14820
Utah,0-4,348,247803,127060,120743,177697,3035,46919,15253
Utah,5-9,348,258976,132868,126108,189472,3430,47261,14297
Utah,10-14,348,267985,137940,130045,199034,3378,47169,14078
Utah,15-19,348,253847,129312,124535,188441,3378,43649,14492
Utah,20-24,348,264652,135806,128846,197042,3675,42505,17542
Utah,25-29,348,251376,129179,122197,186373,4504,38905,18491
Utah,30-34,348,220430,111776,108654,165611,3306,33846,15556
Utah,35-39,348,231242,117335,113907,180308,2813,32652,13774
Utah,40-44,348,212211,108090,104121,167563,2225,30285,10768
Utah,45-49,348,176934,89984,86950,138152,1945,26329,9551
Utah,50-54,348,151496,76450,75046,119663,1655,21271,8175
Utah,55-59,348,155508,76536,78972,128883,1549,16749,7689
Utah,60-64,348,147626,72048,75578,126969,1328,12519,6271
Utah,65-69,348,124183,59874,64309,109641,791,8503,4863
Utah,70-74,348,95283,45370,49913,85504,468,5733,3285
Utah,75-79,348,65645,30234,35411,59720,289,3461,2010
Utah,80-84,348,42187,19148,23039,38467,161,2310,1156
Utah,85+,348,38574,15907,22667,35219,126,1985,1157
Vermont,0-4,168,29043,14917,14126,25631,583,889,1354
Vermont,5-9,168,31098,16127,14971,27597,593,931,1376
Vermont,10-14,168,33058,16988,16070,29570,566,909,1329
Vermont,15-19,168,41216,21202,20014,36571,892,1299,1850
Vermont,20-24,168,45430,23324,22106,39962,1084,1452,2409
Vermont,25-29,168,37956,19675,18281,33946,722,1143,1754
Vermont,30-34,168,36452,18373,18079,33105,622,1146,1272
Vermont,35-39,168,37019,18347,18672,33796,549,1045,1321
Vermont,40-44,168,34248,16868,17380,31631,491,795,1087
Vermont,45-49,168,37335,18561,18774,34686,483,650,1285
Vermont,50-54,168,40716,19949,20767,38501,435,532,1016
Vermont,55-59,168,47545,23039,24506,45422,383,553,935
Vermont,60-64,168,47834,23369,24465,45903,296,433,926
Vermont,65-69,168,42003,20282,21721,40563,195,312,730
Vermont,70-74,168,33203,15945,17258,32179,124,268,473
Vermont,75-79,168,21938,10297,11641,21359,49,115,327
Vermont,80-84,168,13458,5893,7565,13129,30,76,159
Vermont,85+,168,14437,5160,9277,13988,55,171,156
Virginia,0-4,1596,505477,258463,247014,263036,99796,80355,46846
Virginia,5-9,1596,514886,263899,250987,272003,101318,75702,50434
Virginia,10-14,1596,525235,268469,256766,279099,104938,73283,53261
Virginia,15-19,1596,541828,274892,266936,301142,111150,66622,50035
Virginia,20-24,1596,571619,296914,274705,325538,118087,67277,49950
Virginia,25-29,1596,601926,307429,294497,340605,132441,64832,54911
Virginia,30-34,1596,588455,296462,291993,339790,117907,66241,57220
Virginia,35-39,1596,581713,290900,290813,332970,111408,71788,59343
Virginia,40-44,1596,530783,262954,267829,304958,99655,65431,55516
Virginia,45-49,1596,547506,270344,277162,332910,100996,55021,53916
Virginia,50-54,1596,552768,269973,282795,354138,107187,44025,43611
Virginia,55-59,1596,584373,284021,300352,393745,112966,35650,38479
Virginia,60-64,1596,530044,252612,277432,367500,100743,25832,33100
Virginia,65-69,1596,440858,206073,234785,317376,77768,16733,26789
Virginia,70-74,1596,361433,166279,195154,273562,54944,10853,20589
Virginia,75-79,1596,246799,110139,136660,189531,35956,6584,13736
Virginia,80-84,1596,155331,65643,89688,119259,22916,4121,8378
Virginia,85+,1596,154485,54791,99694,120742,22050,4072,6884
Washington,0-4,468,456476,234488,221988,253343,21115,97861,65493
Washington,5-9,468,468777,239664,229113,259719,21840,102662,66060
Washington,10-14,468,466994,239170,227824,259326,19998,102864,66713
Washington,15-19,468,448059,228733,219326,257183,18871,90097,66153
Washington,20-24,468,481263,252269,228994,282190,23427,86386,74836
Washington,25-29,468,592596,309307,283289,360884,28483,88839,100500
Washington,30-34,468,579479,298918,280561,364397,27705,79318,96539
Washington,35-39,468,550110,281129,268981,354293,24992,75147,85750
Washington,40-44,468,478031,241925,236106,314586,20906,64429,70365
Washington,45-49,468,467553,235701,231852,320050,19461,55448,66064
Washington,50-54,468,456224,228760,227464,332942,18083,43438,56469
Washington,55-59,468,488428,241117,247311,378220,17766,34742,52639
Washington,60-64,468,471180,228525,242655,378890,15381,25880,46594
Washington,65-69,468,411965,195674,216291,341806,10747,17529,38663
Washington,70-74,468,323559,152573,170986,274862,6939,11872,27668
Washington,75-79,468,210934,97928,113006,181177,3866,7155,17412
Washington,80-84,468,128687,56592,72095,110084,2433,4161,11270
Washington,85+,468,134578,49510,85068,116637,2211,3893,11063
West Virginia,0-4,660,93025,47607,45418,81561,3576,2868,2980
West Virginia,5-9,660,100280,51363,48917,88626,3625,2818,3122
West Virginia,10-14,660,103192,53155,50037,91581,3577,2853,3091
West Virginia,15-19,660,105976,54812,51164,94313,4555,2619,2766
West Virginia,20-24,660,110880,57133,53747,98546,5311,2496,3061
West Virginia,25-29,660,111868,57654,54214,100953,5008,2473,2481
West Virginia,30-34,660,102136,52488,49648,91998,4725,2582,2185
West Virginia,35-39,660,106413,53625,52788,96992,4273,2444,2068
West Virginia,40-44,660,107389,53876,53513,99063,3868,2132,1786
West Virginia,45-49,660,114165,57389,56776,106517,3639,1764,1768
West Virginia,50-54,660,115086,57621,57465,107892,3745,1469,1566
West Virginia,55-59,660,125027,60862,64165,117808,3997,1186,1574
West Virginia,60-64,660,129699,62793,66906,122422,4160,981,1635
West Virginia,65-69,660,119185,57194,61991,113134,3353,832,1439
West Virginia,70-74,660,98138,46933,51205,93826,2253,587,1146
West Virginia,75-79,660,65706,30116,35590,62861,1394,388,804
West Virginia,80-84,660,43846,18854,24992,42038,895,288,439
West Virginia,85+,660,40136,14295,25841,38381,821,382,366
Wisconsin,0-4,864,330496,168701,161795,229782,30880,40019,22968
Wisconsin,5-9,864,347240,177736,169504,241326,31191,42480,25156
Wisconsin,10-14,864,366791,187556,179235,257369,31496,45903,24724
Wisconsin,15-19,864,377568,192751,184817,277137,29861,41389,23117
Wisconsin,20-24,864,390572,198773,191799,293784,30715,34859,26283
Wisconsin,25-29,864,379644,195545,184099,282030,34719,31514,27327
Wisconsin,30-34,864,361578,184962,176616,276705,27616,30049,24409
Wisconsin,35-39,864,373501,188602,184899,293593,24934,31429,21074
Wisconsin,40-44,864,339574,172101,167473,271215,21647,28453,16349
Wisconsin,45-49,864,342984,172582,170402,281879,21550,23814,14170
Wisconsin,50-54,864,372225,186105,186120,320158,19779,18400,12529
Wisconsin,55-59,864,422240,208601,213639,375644,19543,14748,11085
Wisconsin,60-64,864,400778,197840,202938,362748,16640,11118,9241
Wisconsin,65-69,864,338616,165387,173229,310983,12372,7415,7133
Wisconsin,70-74,864,256132,123090,133042,237640,8147,4899,4934
Wisconsin,75-79,864,175288,80196,95092,163974,5008,2868,3101
Wisconsin,80-84,864,118898,51385,67513,111450,3373,1851,1981
Wisconsin,85+,864,128309,45296,83013,121648,2802,2000,1601
Wyoming,0-4,276,34931,18104,16827,26234,479,5525,1989
Wyoming,5-9,276,37296,19123,18173,28304,460,5813,2074
Wyoming,10-14,276,39438,20264,19174,30688,405,5679,2096
Wyoming,15-19,276,36507,19058,17449,28678,422,5023,1925
Wyoming,20-24,276,38083,20149,17934,29633,674,4756,2435
Wyoming,25-29,276,38041,19708,18333,30363,651,4472,2124
Wyoming,30-34,276,38392,19967,18425,31474,526,4321,1781
Wyoming,35-39,276,39748,20537,19211,32916,532,4542,1527
Wyoming,40-44,276,34537,17945,16592,29042,408,3583,1283
Wyoming,45-49,276,32452,16807,15645,27550,322,3119,1269
Wyoming,50-54,276,31401,15997,15404,27343,278,2447,1152
Wyoming,55-59,276,38268,19086,19182,34041,357,2578,1097
Wyoming,60-64,276,40486,20225,20261,36787,378,2140,1018
Wyoming,65-69,276,34802,17616,17186,31846,262,1684,880
Wyoming,70-74,276,25788,13003,12785,23691,201,1236,583
Wyoming,75-79,276,16949,8135,8814,15726,59,740,356
Wyoming,80-84,276,10649,4878,5771,9851,51,491,219
Wyoming,85+,276,10991,4128,6863,10213,55,460,221
